"MacRep1","MacRep2","MacRep3","NeuRep1","NeuRep2","NeuRep3","MonRep1","MonRep2","MonRep3"
15,70,80,112,18,56,13,88,115
42,166,129,116,19,57,14,129,115
7,38,28,34,7,11,4,33,30
9,16,14,7,7,5,3,9,9
6,18,26,28,3,12,2,19,22
9,32,19,17,7,3,3,6,6
21,104,98,96,16,49,15,99,84
6,16,10,9,2,13,4,10,11
11,83,45,98,11,32,11,91,69
27,131,59,117,22,38,19,115,75
6,37,17,50,10,17,6,32,37
33,140,129,129,11,64,23,144,129
20,78,75,74,11,35,13,73,64
4,15,39,38,9,12,2,40,21
12,26,17,24,7,7,5,31,23
19,88,53,72,14,29,10,70,68
16,91,53,89,13,25,5,75,67
19,44,32,15,2,4,12,22,23
17,57,61,94,16,41,13,107,72
21,108,79,181,15,65,13,120,150
41,189,159,152,25,71,29,156,134
25,137,106,113,12,49,23,147,123
5,14,10,12,1,2,4,14,6
23,93,85,107,15,58,18,69,77
8,44,22,15,3,5,6,33,18
7,70,59,33,4,9,9,40,23
1,34,25,46,7,12,5,34,22
14,69,39,67,10,21,8,60,44
21,65,52,93,14,28,10,79,72
14,61,62,110,7,29,9,105,81
9,48,48,48,10,20,3,32,48
13,53,46,62,4,34,14,59,50
5,40,19,19,8,12,6,37,40
17,116,88,132,13,49,11,123,124
9,69,56,71,13,22,7,64,59
3,2,6,8,3,3,0,5,5
7,19,20,16,4,10,5,23,14
11,48,37,68,8,23,7,67,43
0,0,0,6,0,1,0,0,1
1,3,1,6,0,2,0,0,4
21,89,82,97,26,45,11,89,75
5,25,18,28,5,19,7,27,13
2,5,9,15,7,11,7,6,5
10,42,36,28,8,14,6,20,20
23,109,81,124,15,48,9,94,77
42,180,138,254,38,125,29,170,161
26,126,116,176,25,81,26,121,108
10,46,42,28,5,8,6,38,33
11,47,35,26,9,19,11,30,40
18,88,72,58,12,42,5,59,61
10,82,62,58,14,22,12,63,43
1,11,8,15,2,5,2,1,5
4,29,23,31,11,11,5,32,18
11,50,58,59,13,29,11,58,63
18,95,65,78,13,26,14,85,74
19,108,92,156,7,44,15,126,140
20,65,53,44,5,19,3,44,41
9,22,28,34,3,20,6,23,14
64,288,256,284,37,114,52,291,268
9,28,41,7,2,5,2,2,3
1,1,2,6,3,2,2,3,4
15,69,48,43,5,27,12,58,55
13,47,48,20,5,11,7,30,25
6,39,34,44,7,25,10,48,39
5,62,57,53,7,23,8,48,39
28,145,135,109,17,50,12,110,98
7,16,22,16,7,9,2,13,16
1,28,56,35,11,22,16,41,33
5,23,39,46,7,17,3,42,49
22,103,91,145,11,65,25,117,123
3,37,30,41,6,17,5,44,34
1,6,8,8,1,2,1,8,5
6,37,34,14,4,11,9,16,17
10,81,58,102,18,45,8,78,69
0,1,0,6,2,0,0,0,0
21,143,93,106,15,55,15,88,86
7,38,49,28,9,14,5,32,21
14,88,84,116,13,57,14,95,93
6,31,37,50,5,16,5,28,28
26,132,115,151,24,69,19,133,113
15,57,53,65,10,30,13,52,54
8,26,30,22,6,5,8,20,14
0,2,2,6,0,3,0,0,4
28,125,133,119,25,43,23,104,98
3,24,17,27,5,12,3,25,19
6,42,25,65,5,14,7,38,35
5,32,26,36,9,21,4,31,28
5,8,13,4,2,3,0,3,8
18,81,76,78,10,40,17,77,57
11,53,41,41,13,12,3,31,23
19,73,78,62,18,49,7,118,56
2,8,6,5,0,2,1,3,0
10,62,56,71,9,36,9,73,63
2,19,38,45,11,17,1,32,29
10,25,9,18,9,5,3,18,24
25,153,121,151,23,69,23,198,164
5,20,14,30,4,13,4,13,26
5,22,29,14,3,7,4,20,19
2,31,32,34,6,12,8,31,24
17,110,101,114,15,39,17,109,85
14,66,79,74,19,44,16,78,82
12,64,68,13,5,14,4,13,11
17,83,111,16,4,10,8,45,42
5,22,40,24,9,18,7,30,29
15,52,40,15,4,7,1,7,2
12,42,63,7,4,7,2,18,5
3,24,22,25,9,9,6,29,30
8,14,18,6,0,2,2,5,0
7,36,48,25,4,8,3,8,12
2,8,5,4,1,4,0,2,4
9,52,42,40,11,22,7,54,37
9,51,54,15,2,4,2,11,18
14,52,58,29,8,14,10,36,40
1,2,5,1,0,3,3,3,5
23,113,115,233,23,78,18,163,166
37,142,141,175,20,66,28,182,158
2,38,40,37,9,16,3,31,31
19,122,72,56,13,28,12,72,40
8,55,30,55,10,25,7,53,47
0,3,5,6,0,0,1,1,5
24,77,58,100,15,43,14,102,84
7,46,29,63,13,20,6,43,30
9,16,29,30,4,10,4,26,25
17,75,50,8,5,9,5,27,23
8,31,28,28,8,11,2,16,32
12,58,58,66,14,23,11,86,68
12,63,47,42,11,17,10,43,41
17,96,98,87,10,37,11,60,78
15,20,22,5,2,7,2,9,5
5,32,31,35,13,18,6,21,33
18,76,56,78,22,39,20,62,65
13,55,64,72,19,60,12,52,43
0,2,2,6,4,3,0,3,3
1,7,8,6,1,0,0,7,1
3,14,16,23,11,21,12,22,13
15,106,79,185,22,63,16,144,125
2,10,6,16,9,10,2,12,9
6,14,7,17,5,10,2,3,5
9,36,29,19,4,4,3,34,18
18,72,97,56,14,42,12,59,46
6,19,27,44,9,19,11,31,32
13,104,80,117,9,34,16,88,69
10,59,52,45,8,19,3,36,35
33,137,101,67,14,23,6,75,54
10,48,36,50,17,25,4,56,45
13,74,50,56,14,27,9,44,52
20,82,62,72,8,29,9,81,52
10,24,27,29,2,3,6,29,18
8,28,11,25,1,10,2,19,14
17,88,83,100,15,28,10,73,95
28,132,95,138,16,42,12,121,103
8,50,50,46,12,36,6,52,41
8,46,60,8,3,6,5,14,22
15,58,50,35,6,29,4,45,53
8,22,37,11,6,4,2,10,5
25,84,87,109,20,28,17,83,94
11,41,49,15,9,11,1,10,5
1,16,10,20,5,12,4,8,14
3,17,13,17,8,11,4,9,10
17,53,38,36,5,22,6,51,30
6,40,50,36,6,13,11,29,30
15,61,43,50,8,29,12,44,44
12,51,35,46,10,16,6,38,34
9,11,19,19,4,9,2,20,10
3,24,23,2,0,6,0,5,6
16,71,81,85,18,36,7,127,78
0,7,7,9,2,5,0,7,9
40,154,179,177,31,79,20,157,158
6,22,28,43,1,19,6,31,36
9,35,38,30,11,19,3,28,26
4,33,29,22,9,12,3,17,16
5,10,12,7,3,1,1,10,16
9,38,25,37,7,29,10,41,29
7,52,45,57,6,25,9,38,55
4,16,11,30,3,15,4,16,10
4,7,24,22,3,17,6,18,19
7,54,48,49,16,14,8,46,37
1,4,5,8,0,3,1,4,6
19,91,48,75,15,35,11,70,74
9,55,28,14,0,8,6,53,46
9,27,36,29,4,21,11,29,22
5,37,47,41,12,26,9,42,40
9,19,29,12,1,8,2,11,15
28,132,106,156,10,47,18,145,96
18,64,53,93,23,65,13,48,33
2,8,17,28,7,16,5,16,14
1,2,6,10,2,3,1,3,2
3,6,6,1,0,4,2,9,5
17,93,88,136,13,58,7,97,97
5,37,42,43,8,31,6,44,38
8,18,19,38,2,16,4,34,28
22,89,91,68,20,34,21,90,82
7,17,20,45,7,17,6,27,40
2,5,9,5,1,2,1,2,7
13,34,38,4,2,6,3,6,3
8,17,19,16,4,13,4,17,21
9,40,69,43,14,27,4,58,53
22,128,103,207,12,72,14,117,127
4,42,29,40,6,29,6,33,36
9,89,62,101,17,38,10,72,75
16,94,82,82,20,33,20,89,77
7,35,28,18,5,6,1,17,11
7,48,27,54,7,17,6,42,51
9,60,62,8,1,5,3,9,5
24,112,125,23,4,11,4,25,18
9,59,59,33,7,18,12,41,32
9,39,31,43,10,20,4,35,35
0,5,9,4,2,2,4,5,8
1,11,20,29,4,14,5,25,21
18,91,86,117,16,42,14,80,90
9,20,23,27,8,13,2,27,17
20,104,83,125,24,65,20,103,90
10,38,26,29,7,24,5,33,27
29,104,96,120,18,51,15,112,117
19,82,72,17,5,15,3,55,41
10,50,46,37,7,19,12,27,22
11,36,46,15,2,12,2,27,23
8,49,49,43,8,35,6,36,45
7,31,26,12,5,5,1,7,9
14,96,88,97,15,36,12,94,95
9,30,22,68,10,17,7,40,34
1,1,2,7,1,3,0,4,4
7,49,33,49,5,18,9,45,36
12,69,52,61,10,31,10,45,54
31,165,186,159,23,73,27,146,163
31,93,64,120,12,62,12,94,114
4,22,27,20,3,16,4,14,18
4,30,26,36,11,13,7,37,27
9,26,40,14,2,4,3,4,6
7,9,20,5,1,5,4,14,8
11,60,48,71,13,28,7,59,53
16,66,58,59,8,28,14,64,62
6,18,15,32,4,12,8,20,17
13,65,61,68,18,35,7,70,72
1,1,1,6,3,2,0,3,1
9,29,27,35,5,25,7,27,33
10,17,34,8,4,6,4,12,3
19,71,100,28,5,22,8,50,58
9,69,57,63,10,38,10,69,53
18,75,60,115,29,53,7,112,107
19,102,88,93,14,40,14,85,80
7,52,34,18,4,10,9,31,30
10,15,27,25,4,17,3,21,16
3,7,12,0,1,1,0,3,1
15,77,67,64,10,34,17,74,99
10,31,38,17,5,15,5,11,11
5,26,24,30,6,16,2,25,20
12,22,20,14,9,8,1,25,11
10,54,67,17,2,4,2,12,13
10,46,51,8,2,8,0,12,18
6,20,13,26,2,9,5,15,23
27,116,110,33,5,25,5,35,49
7,18,21,15,3,9,4,19,13
0,4,2,6,2,3,2,4,6
20,105,123,149,12,63,19,118,108
18,98,85,59,11,21,12,67,72
5,37,42,49,6,16,14,31,34
0,21,12,3,0,3,4,12,6
2,28,21,22,5,13,6,21,22
19,69,100,65,12,41,9,67,58
6,40,32,32,7,20,5,31,30
7,25,41,12,4,8,0,26,17
11,65,45,51,8,19,13,43,60
16,54,60,63,12,29,14,70,54
22,65,66,57,12,28,9,52,64
5,34,40,61,7,24,9,59,57
13,51,40,38,10,31,9,38,20
11,16,23,4,1,5,1,9,5
12,42,49,90,11,32,4,59,64
7,30,27,29,1,23,6,18,22
19,65,63,61,8,29,9,67,65
21,101,71,124,15,60,15,92,87
16,64,62,66,12,32,9,70,52
18,47,47,45,11,15,6,44,38
11,43,33,24,5,8,6,27,21
17,70,55,64,11,23,3,56,57
12,67,40,89,10,33,4,59,56
11,43,42,49,7,20,6,39,29
4,67,46,55,15,22,3,59,44
7,16,24,16,8,6,9,14,22
3,40,47,25,9,13,8,29,21
24,122,122,168,30,73,22,145,167
14,127,130,45,5,31,13,94,86
8,31,36,33,7,15,7,45,40
14,43,62,66,9,33,10,72,50
25,117,111,120,23,54,20,91,108
3,20,25,22,3,5,12,29,16
12,54,66,10,1,2,2,9,4
9,23,28,12,3,4,1,4,5
20,101,98,108,31,49,23,109,108
14,59,66,13,4,3,3,6,8
16,88,76,81,13,46,15,88,82
0,5,4,3,3,3,4,10,10
33,145,84,178,15,56,19,155,124
17,89,61,79,12,35,18,75,62
9,42,25,34,8,27,5,25,33
23,119,93,78,10,32,12,70,62
9,44,41,24,4,13,5,45,38
15,52,67,58,21,38,10,59,50
30,121,139,115,21,53,25,108,98
6,51,52,42,5,16,8,35,30
14,66,65,92,19,43,9,57,61
7,40,51,4,0,10,3,5,5
10,45,36,10,4,4,2,2,4
20,98,85,119,13,43,13,109,79
8,22,32,6,4,8,3,21,6
10,20,28,16,2,5,0,13,11
3,22,27,44,8,17,13,37,66
11,81,66,59,19,34,4,78,66
17,94,106,72,12,40,19,72,85
10,16,23,8,4,10,3,14,22
9,21,26,9,4,3,3,14,11
3,70,51,51,14,27,8,57,59
18,74,64,56,15,32,7,63,34
10,56,41,18,2,9,13,49,43
15,61,56,44,10,15,8,53,47
6,29,41,8,3,7,12,22,14
14,67,59,46,11,31,7,39,39
8,20,26,18,5,9,6,22,9
8,19,19,11,5,10,0,6,3
7,70,58,68,16,16,5,42,59
13,37,24,27,2,15,5,22,15
27,113,103,142,16,68,18,98,91
18,108,97,84,16,38,14,78,95
11,54,47,25,5,10,4,10,14
18,46,49,50,13,26,15,47,50
10,46,50,33,7,18,4,47,17
16,74,75,59,14,29,10,53,37
5,58,66,55,11,23,12,48,54
22,154,150,152,15,65,20,144,129
7,18,17,13,3,13,4,7,13
28,163,132,157,18,72,26,179,183
13,58,78,10,3,9,5,18,13
11,32,39,38,13,27,10,35,35
10,37,25,10,0,4,2,17,17
11,53,56,19,2,8,7,35,34
32,143,111,120,17,56,34,144,129
6,37,38,48,14,25,5,24,28
12,58,63,49,11,19,8,56,53
10,39,51,34,4,19,9,42,52
16,79,76,12,5,14,9,42,29
9,14,14,10,2,3,1,6,9
10,44,34,34,8,8,5,32,24
2,16,20,18,9,12,7,18,20
9,62,47,46,10,27,7,55,43
14,81,51,106,8,34,16,74,90
17,72,101,108,18,51,16,91,89
10,55,42,10,2,8,2,11,5
7,34,25,36,8,13,4,38,25
21,75,74,56,12,34,11,69,84
11,60,50,58,13,29,12,56,38
11,42,56,67,10,23,9,48,49
11,17,24,7,2,7,2,26,22
18,138,125,84,16,42,16,95,79
3,19,16,2,0,1,2,4,2
13,76,84,59,13,41,9,79,71
22,107,75,120,16,47,16,86,98
12,42,48,42,4,29,6,49,32
8,20,38,4,3,4,1,10,8
2,17,8,27,8,13,5,20,15
2,4,6,16,0,14,2,7,8
3,18,18,20,5,14,5,18,17
6,19,27,24,12,9,1,23,13
2,19,21,22,6,11,4,20,14
7,15,38,18,7,16,8,31,31
8,33,41,38,5,19,3,28,27
17,50,43,12,4,11,6,44,49
40,180,157,156,20,76,25,154,135
12,22,22,36,4,8,2,15,16
13,74,62,39,7,17,7,36,51
18,112,93,122,19,51,16,99,119
7,44,34,40,7,19,10,32,38
12,75,50,38,6,21,7,43,23
7,39,37,5,0,3,1,8,3
6,30,21,16,4,14,1,11,14
5,49,49,48,8,19,6,41,45
4,26,25,25,6,19,2,13,10
38,223,190,150,19,76,21,124,110
2,12,26,29,10,15,0,15,21
11,44,47,62,10,25,3,32,30
20,78,46,70,19,26,11,91,57
4,10,17,26,2,9,9,18,32
12,41,26,26,15,21,3,35,44
4,39,42,18,1,11,2,16,17
16,66,73,95,20,35,8,81,78
13,15,22,18,2,12,4,22,12
12,33,51,14,4,7,5,4,8
10,41,33,11,1,9,8,8,16
4,18,17,23,3,14,4,19,15
23,114,92,9,2,9,7,15,22
5,48,44,25,5,12,3,13,25
8,43,32,17,2,12,3,13,9
12,44,37,9,1,4,9,20,29
10,15,32,7,0,9,2,5,3
5,28,27,44,7,16,1,25,19
11,26,27,16,4,7,3,11,13
7,34,19,29,4,6,0,21,8
6,23,28,22,6,17,1,20,20
25,86,73,67,16,31,9,61,77
18,68,73,52,15,38,4,57,78
14,55,55,51,10,21,8,28,49
13,79,86,114,14,38,19,82,87
7,17,20,17,0,5,3,24,20
31,184,139,177,32,70,26,142,141
22,73,54,113,14,39,7,95,78
14,63,67,57,15,30,15,57,61
6,40,34,43,10,13,7,40,23
13,89,70,48,15,31,18,70,49
12,75,66,51,6,32,4,44,33
8,12,17,9,0,3,0,7,6
11,41,58,45,11,20,13,48,52
17,72,85,64,15,33,8,72,57
17,59,55,37,8,23,4,47,30
7,11,13,1,2,1,1,3,2
32,155,142,139,30,63,31,143,116
13,94,82,55,8,37,4,82,33
22,119,95,64,12,33,19,77,79
6,37,44,29,11,22,11,32,37
22,92,84,63,22,39,20,90,96
1,5,5,6,2,3,1,7,3
17,48,37,35,9,10,7,31,38
13,47,67,38,16,19,6,41,39
5,23,17,25,7,7,4,20,20
19,93,67,81,8,34,8,50,58
4,12,14,7,1,2,0,10,9
12,47,52,54,15,21,16,61,57
18,62,51,69,8,29,11,59,60
20,132,116,105,18,52,20,96,105
55,228,190,45,10,23,20,126,102
12,60,52,43,5,37,6,55,45
7,31,27,21,2,10,6,14,15
5,35,57,32,9,21,8,31,26
0,7,5,7,1,3,1,8,6
12,83,82,96,15,38,10,85,92
8,61,63,62,16,25,6,58,44
36,135,115,101,18,50,16,79,90
18,105,85,82,26,43,15,77,69
18,86,74,66,10,19,12,55,55
18,73,72,64,15,23,14,39,48
29,163,155,136,30,75,35,159,132
20,78,58,101,6,41,8,77,63
24,83,70,106,7,40,9,89,81
16,109,82,88,10,45,14,90,85
6,13,14,7,4,5,3,12,6
4,38,22,26,6,11,4,29,17
25,154,149,140,22,60,26,119,125
25,117,129,128,24,50,26,132,136
19,75,86,61,12,33,4,60,60
26,91,92,43,19,27,10,43,65
3,12,8,17,6,9,5,15,23
14,88,74,75,8,25,8,61,68
0,2,1,6,0,1,0,1,0
16,47,28,6,1,9,3,23,16
26,138,126,77,7,41,10,58,84
7,47,67,22,4,5,3,17,26
12,53,58,12,1,6,4,12,3
8,27,22,6,1,4,3,9,1
34,168,156,147,13,93,29,185,150
43,220,147,84,16,60,28,106,72
0,5,4,6,0,2,1,4,4
13,91,61,57,5,36,9,59,44
10,42,50,10,2,7,0,2,7
15,81,64,15,5,11,6,31,24
4,22,19,19,1,13,6,32,29
4,41,38,18,1,9,3,23,28
5,7,5,4,1,3,2,10,13
19,110,97,89,20,35,14,88,87
19,62,46,58,3,25,4,48,47
9,55,51,40,15,18,8,45,24
10,40,58,70,12,38,6,41,53
40,130,133,140,16,69,30,136,164
12,49,37,20,5,13,4,23,23
14,52,47,51,10,26,11,39,50
12,43,33,38,12,18,9,30,22
31,157,146,193,15,78,19,150,166
9,58,35,67,12,30,5,50,45
8,11,26,14,4,13,2,17,20
3,11,8,2,1,3,2,6,6
1,15,12,20,5,11,5,14,16
7,49,27,34,4,27,13,43,34
5,26,31,42,3,13,6,25,28
10,13,23,10,5,7,2,17,15
6,32,28,38,8,12,8,38,35
20,101,77,46,14,19,9,65,66
10,51,59,49,7,20,4,39,47
15,70,77,48,10,28,18,120,102
20,88,83,11,8,9,2,8,6
7,7,8,4,0,2,0,3,1
9,54,54,8,3,14,4,18,9
0,1,0,7,0,1,0,0,2
22,130,113,92,13,48,17,69,93
10,30,36,22,8,11,4,26,32
25,134,110,203,22,54,23,157,171
43,208,196,168,20,92,25,188,186
9,53,36,8,5,3,3,5,4
17,65,64,43,17,22,6,46,45
10,37,29,4,3,2,2,2,5
6,14,11,23,4,10,4,14,13
21,95,99,32,7,15,10,48,44
12,42,33,24,9,21,2,21,27
29,148,109,143,23,76,20,148,142
17,25,33,17,6,12,6,17,20
19,104,85,62,11,21,11,58,58
12,23,35,18,2,13,9,17,19
4,55,34,18,6,19,6,24,22
9,29,28,9,3,3,2,3,3
7,23,26,4,0,0,1,12,5
9,31,38,3,1,5,2,6,3
35,135,140,8,1,7,6,26,24
6,21,17,9,5,3,2,10,7
15,83,67,15,6,17,3,48,47
6,39,24,18,2,6,3,15,10
0,3,9,6,1,4,3,8,6
14,117,104,64,13,32,13,70,67
0,0,2,5,2,2,0,2,2
11,126,109,9,4,2,2,30,44
0,7,5,0,0,0,5,9,9
42,192,190,105,26,55,26,140,151
7,32,21,2,2,4,0,4,6
4,30,28,18,6,16,6,20,26
12,56,40,9,5,4,1,13,9
6,48,59,17,6,12,7,49,50
0,1,1,0,0,4,3,1,3
8,62,53,6,3,6,4,12,17
32,126,102,88,16,56,14,98,107
12,37,38,6,3,9,3,9,10
4,22,21,4,2,2,3,12,12
9,40,47,4,2,0,1,10,2
9,24,9,18,4,8,1,11,9
16,78,61,62,8,31,8,55,60
3,39,21,17,3,17,5,26,23
4,19,19,1,0,0,0,0,1
18,95,98,50,9,35,11,71,83
11,66,44,6,2,7,4,34,37
68,322,260,266,26,160,39,269,254
11,57,48,7,3,6,4,21,28
7,42,24,14,3,10,11,38,22
23,91,70,46,16,37,8,54,59
9,31,29,21,4,11,5,27,21
33,188,112,92,19,42,12,106,100
13,65,40,7,3,6,4,11,14
10,83,70,60,11,17,7,34,52
1,5,2,6,2,2,0,5,6
17,79,51,56,11,35,8,54,36
4,19,17,5,0,1,3,6,10
6,25,26,16,4,16,4,24,23
10,43,41,6,1,5,4,35,29
10,23,30,4,2,4,5,17,18
4,16,9,4,2,2,1,5,1
8,26,29,10,2,7,7,37,41
9,64,62,31,4,17,6,53,64
7,34,27,7,4,6,6,17,14
18,77,57,46,5,21,11,62,35
9,48,30,4,1,7,2,10,10
20,92,68,16,5,9,2,34,40
8,30,24,10,1,16,4,30,30
14,65,72,36,3,20,9,40,45
12,71,69,6,1,4,7,31,38
3,19,12,8,1,5,5,24,15
2,35,16,17,2,10,2,33,12
48,318,248,212,23,101,34,297,244
10,72,54,49,4,30,15,89,99
12,64,50,18,3,11,3,27,27
8,34,40,3,3,2,3,21,20
6,63,51,41,6,20,6,70,74
8,21,11,7,3,2,2,4,3
18,73,78,18,1,6,1,32,28
10,88,73,17,4,5,13,57,76
9,53,51,12,0,4,4,79,61
13,54,24,9,7,8,0,23,26
6,15,25,3,0,4,0,0,2
73,376,302,203,20,123,31,272,291
38,198,133,123,11,49,14,137,137
23,112,56,54,8,45,13,91,62
15,87,81,0,3,1,4,1,6
28,137,138,116,21,86,23,121,149
15,87,94,4,2,3,3,6,4
33,244,168,145,26,109,34,222,227
4,40,17,7,0,7,7,33,33
14,55,47,6,0,4,4,17,24
15,84,50,9,1,4,6,25,29
5,36,18,12,0,8,2,21,18
26,138,112,79,10,34,10,142,123
13,45,54,10,2,4,2,5,3
16,113,73,3,1,0,1,2,13
18,54,70,16,1,9,10,87,85
8,20,34,5,2,5,0,5,2
3,15,17,2,2,1,1,9,12
2,25,17,20,4,16,7,28,33
10,36,29,2,4,0,1,4,4
17,108,90,61,9,39,10,54,73
17,134,104,62,10,47,9,88,102
28,133,87,59,20,48,12,75,80
28,197,123,94,13,63,12,161,184
12,83,60,12,1,8,3,26,30
10,39,41,16,6,11,11,46,56
7,33,23,1,4,1,1,0,1
16,112,121,66,12,37,10,85,120
10,43,46,7,4,3,3,29,22
7,53,40,8,0,8,7,28,37
5,33,43,27,3,18,3,39,50
7,26,30,23,3,12,4,29,36
10,48,29,24,3,10,6,36,48
10,29,28,6,2,2,5,26,30
57,261,188,146,15,66,18,287,294
5,8,13,5,0,3,1,12,9
9,18,15,4,3,11,2,10,6
6,15,8,7,1,1,0,8,6
