gene_id	Mac96h_R3
ENSG00000000419.9	17.67687391
ENSG00000000457.10	3.411566314
ENSG00000000460.13	1.361901378
ENSG00000000938.9	124.3570953
ENSG00000001036.10	12.40238658
ENSG00000001084.7	143.7125191
ENSG00000001167.11	8.792331476
ENSG00000001460.14	0.190909639
ENSG00000001461.13	4.737658247
ENSG00000001497.13	3.336903352
ENSG00000001617.8	0.014981053
ENSG00000001629.6	11.28407467
ENSG00000001630.12	5.844089954
ENSG00000001631.11	16.68010285
ENSG00000002016.13	7.299990996
ENSG00000002330.10	7.95952541
ENSG00000002549.9	22.70785777
ENSG00000002726.16	5.683251795
ENSG00000002822.12	6.999401148
ENSG00000002834.14	207.21148
ENSG00000002919.11	7.041582779
ENSG00000002933.4	0.037627744
ENSG00000003056.4	193.3555851
ENSG00000003096.10	0.115333322
ENSG00000003147.14	6.751849768
ENSG00000003249.10	0.100325618
ENSG00000003393.11	5.037860137
ENSG00000003400.11	1.965948248
ENSG00000003402.16	29.13236008
ENSG00000003436.11	0.045951052
ENSG00000003509.12	6.629463713
ENSG00000003756.13	35.01019058
ENSG00000003987.10	0.019120398
ENSG00000003989.13	3.504342685
ENSG00000004059.7	29.36477666
ENSG00000004142.8	32.93833097
ENSG00000004399.9	68.1474333
ENSG00000004455.13	21.23473141
ENSG00000004468.9	0.135137763
ENSG00000004478.6	11.64392135
ENSG00000004487.12	8.544025587
ENSG00000004534.11	11.25506532
ENSG00000004660.11	3.139980481
ENSG00000004700.12	5.342284223
ENSG00000004766.12	2.14772275
ENSG00000004777.15	0.2607584
ENSG00000004779.6	13.86528318
ENSG00000004799.7	0.006946336
ENSG00000004809.10	0.838078071
ENSG00000004864.10	5.540799854
ENSG00000004866.15	3.993138663
ENSG00000004897.8	18.91335262
ENSG00000004961.11	4.065187842
ENSG00000004975.8	15.58533269
ENSG00000005007.9	18.2422409
ENSG00000005020.9	41.84195914
ENSG00000005022.5	122.6647308
ENSG00000005075.12	16.44832621
ENSG00000005100.9	3.43434752
ENSG00000005156.8	5.113603308
ENSG00000005175.6	5.360541007
ENSG00000005187.8	0.491544243
ENSG00000005189.16	0.231519002
ENSG00000005194.11	7.272357194
ENSG00000005206.13	5.553392465
ENSG00000005238.16	13.20449096
ENSG00000005243.6	0.005590818
ENSG00000005302.14	36.31943671
ENSG00000005339.9	24.65696364
ENSG00000005379.12	6.821340813
ENSG00000005381.7	0.073477012
ENSG00000005436.10	0.037936765
ENSG00000005448.13	6.466047183
ENSG00000005483.16	28.60927348
ENSG00000005486.13	17.059041
ENSG00000005700.11	13.60935562
ENSG00000005801.13	9.191126597
ENSG00000005810.14	21.7027532
ENSG00000005812.7	14.04088611
ENSG00000005844.14	71.84466433
ENSG00000005882.8	5.871977506
ENSG00000005884.14	59.49006002
ENSG00000005889.12	3.304031056
ENSG00000005893.12	30.90064246
ENSG00000005961.14	1.126237029
ENSG00000006007.8	21.96321307
ENSG00000006015.14	5.723432317
ENSG00000006016.7	0.92226713
ENSG00000006025.8	23.92667886
ENSG00000006062.10	5.314282344
ENSG00000006118.11	11.29820669
ENSG00000006125.13	15.62864514
ENSG00000006194.7	8.960954292
ENSG00000006210.6	3.173891177
ENSG00000006282.16	9.772026922
ENSG00000006327.10	10.40808814
ENSG00000006451.4	10.74073005
ENSG00000006453.10	0.00712066
ENSG00000006459.7	5.994591839
ENSG00000006468.10	2.99463103
ENSG00000006530.12	1.323952506
ENSG00000006534.12	5.845130872
ENSG00000006576.13	1.141166621
ENSG00000006607.10	2.350663905
ENSG00000006625.14	10.82385856
ENSG00000006634.4	3.445458176
ENSG00000006652.10	29.02465573
ENSG00000006695.7	4.578703834
ENSG00000006704.7	5.058668427
ENSG00000006712.11	8.457419342
ENSG00000006715.12	21.40852499
ENSG00000006740.13	6.09687407
ENSG00000006744.15	22.19483307
ENSG00000006747.11	0.188497519
ENSG00000006756.12	2.627020895
ENSG00000006757.8	9.25187846
ENSG00000006831.9	17.05000543
ENSG00000006837.8	1.27644427
ENSG00000007047.11	6.387746195
ENSG00000007080.7	10.55896083
ENSG00000007168.9	21.38271926
ENSG00000007202.11	74.53482005
ENSG00000007237.15	18.007953
ENSG00000007255.7	11.65047875
ENSG00000007264.10	33.83015612
ENSG00000007341.15	6.771778311
ENSG00000007350.13	0.006204228
ENSG00000007372.17	0.004898999
ENSG00000007376.4	7.138553584
ENSG00000007384.12	4.368885425
ENSG00000007392.13	10.55299272
ENSG00000007516.10	1.879934908
ENSG00000007520.3	3.095314845
ENSG00000007541.11	5.745410696
ENSG00000007545.12	5.833155665
ENSG00000007866.15	5.171702196
ENSG00000007923.12	18.4269101
ENSG00000007944.11	1.531986303
ENSG00000007968.6	0.03789689
ENSG00000008018.8	46.26890621
ENSG00000008056.9	0.810027183
ENSG00000008083.10	27.64500492
ENSG00000008128.19	6.908423756
ENSG00000008130.12	52.85692235
ENSG00000008256.12	5.137618538
ENSG00000008282.4	6.846824497
ENSG00000008283.12	0.061669671
ENSG00000008294.17	32.9814957
ENSG00000008300.11	0.470495025
ENSG00000008324.7	3.574970932
ENSG00000008382.12	0.64910273
ENSG00000008394.9	296.6266635
ENSG00000008405.8	1.090834413
ENSG00000008438.4	0.008209573
ENSG00000008441.13	1.204932253
ENSG00000008513.11	9.455306356
ENSG00000008516.13	0.124284454
ENSG00000008517.13	0.028365292
ENSG00000008710.14	8.352572778
ENSG00000008838.14	65.02929272
ENSG00000008853.13	26.57586113
ENSG00000008869.8	5.168028616
ENSG00000008952.13	21.96645688
ENSG00000008988.6	198.3686945
ENSG00000009307.12	168.6982199
ENSG00000009335.14	7.135227707
ENSG00000009413.12	1.071305525
ENSG00000009780.12	1.994058286
ENSG00000009790.11	3.264783878
ENSG00000009830.8	5.724209
ENSG00000009844.12	15.09227318
ENSG00000009950.12	69.49586642
ENSG00000009954.7	20.49782606
ENSG00000010017.10	29.56905144
ENSG00000010072.12	1.899136077
ENSG00000010165.16	6.922703254
ENSG00000010219.10	14.61490215
ENSG00000010244.13	89.09268382
ENSG00000010256.7	92.62511201
ENSG00000010270.10	9.334114565
ENSG00000010278.8	109.6719909
ENSG00000010292.9	19.48108279
ENSG00000010295.16	5.510930802
ENSG00000010310.5	0.839361268
ENSG00000010318.16	3.158300594
ENSG00000010319.3	1.550027716
ENSG00000010322.12	18.66215971
ENSG00000010361.10	14.24958777
ENSG00000010379.12	0.006926509
ENSG00000010404.14	43.07503796
ENSG00000010539.8	2.970166352
ENSG00000010610.6	40.33951919
ENSG00000010626.11	1.417262982
ENSG00000010671.12	20.26036114
ENSG00000010803.13	3.951765879
ENSG00000010810.14	73.62084695
ENSG00000010818.5	0.665247374
ENSG00000010932.12	0.011701889
ENSG00000011007.9	9.686816876
ENSG00000011009.7	18.71661036
ENSG00000011021.18	4.553050385
ENSG00000011028.10	8.20888951
ENSG00000011105.8	0.273342672
ENSG00000011132.8	12.14062737
ENSG00000011143.13	14.1619702
ENSG00000011198.4	8.489080508
ENSG00000011243.14	43.06984474
ENSG00000011258.12	6.411371734
ENSG00000011260.10	3.441640544
ENSG00000011275.15	6.219885906
ENSG00000011295.12	2.536035004
ENSG00000011304.13	33.4280705
ENSG00000011347.6	1.859973262
ENSG00000011376.6	3.285148915
ENSG00000011405.10	3.040833346
ENSG00000011422.8	161.5378304
ENSG00000011426.7	0.497222161
ENSG00000011451.14	9.271605999
ENSG00000011454.13	4.261929937
ENSG00000011465.13	0.026568225
ENSG00000011478.8	0.728988259
ENSG00000011485.11	16.10171899
ENSG00000011523.10	3.522678099
ENSG00000011566.11	9.018770706
ENSG00000011600.8	444.115273
ENSG00000011638.7	2.744085044
ENSG00000012048.16	2.041177562
ENSG00000012061.12	161.0078079
ENSG00000012124.11	0.834378195
ENSG00000012174.8	3.64012367
ENSG00000012211.9	5.383765604
ENSG00000012223.9	0.030329914
ENSG00000012232.5	3.71070939
ENSG00000012660.10	14.776155
ENSG00000012817.12	0.096009855
ENSG00000012822.12	106.758048
ENSG00000012983.8	7.901357677
ENSG00000013275.4	30.01435997
ENSG00000013288.5	9.11624955
ENSG00000013306.12	32.586596
ENSG00000013364.15	78.91109633
ENSG00000013374.12	9.552070883
ENSG00000013375.12	7.263588882
ENSG00000013441.12	28.54899523
ENSG00000013503.6	2.147469377
ENSG00000013523.6	17.0972392
ENSG00000013561.14	6.820532102
ENSG00000013563.10	16.21488695
ENSG00000013573.13	2.684489611
ENSG00000013583.5	12.6737733
ENSG00000013588.5	0.045054207
ENSG00000013619.10	0.189861742
ENSG00000013725.11	6.752660362
ENSG00000013810.15	25.39137304
ENSG00000014123.9	2.791728193
ENSG00000014138.5	3.684705615
ENSG00000014164.6	4.237802028
ENSG00000014216.12	54.86887509
ENSG00000014257.12	237.3894171
ENSG00000014641.14	47.96530258
ENSG00000014824.10	14.28413029
ENSG00000014914.16	3.357991
ENSG00000014919.9	9.906016207
ENSG00000015133.15	43.35981176
