gene_id	Neu96h_R2
ENSG00000000419.9	11.47240852
ENSG00000000457.10	1.522550298
ENSG00000000460.13	0.775223774
ENSG00000000938.9	56.22206239
ENSG00000001036.10	10.00322039
ENSG00000001084.7	26.58709532
ENSG00000001167.11	5.011725167
ENSG00000001460.14	0.180854966
ENSG00000001461.13	2.269745561
ENSG00000001497.13	7.859714149
ENSG00000001617.8	0.966880574
ENSG00000001629.6	8.76626559
ENSG00000001630.12	5.810250155
ENSG00000001631.11	15.21142866
ENSG00000002016.13	7.6227635
ENSG00000002330.10	3.14685106
ENSG00000002549.9	7.170704961
ENSG00000002726.16	1.053159464
ENSG00000002822.12	9.570177837
ENSG00000002834.14	42.36631645
ENSG00000002919.11	6.068511887
ENSG00000002933.4	0.008922793
ENSG00000003056.4	75.31317455
ENSG00000003096.10	3.363226532
ENSG00000003147.14	5.846327304
ENSG00000003249.10	1.39167375
ENSG00000003393.11	13.83828917
ENSG00000003400.11	1.289758306
ENSG00000003402.16	34.67995951
ENSG00000003436.11	0.810962288
ENSG00000003509.12	5.169499985
ENSG00000003756.13	61.10625341
ENSG00000003987.10	2.707623064
ENSG00000003989.13	0.225154519
ENSG00000004059.7	43.60897314
ENSG00000004142.8	14.05679915
ENSG00000004399.9	5.576174604
ENSG00000004455.13	13.38458714
ENSG00000004468.9	10.59270435
ENSG00000004478.6	26.82148943
ENSG00000004487.12	15.10709304
ENSG00000004534.11	27.32201398
ENSG00000004660.11	3.348107165
ENSG00000004700.12	2.210450561
ENSG00000004766.12	6.376890648
ENSG00000004777.15	3.495984301
ENSG00000004779.6	20.78171793
ENSG00000004799.7	0.252798371
ENSG00000004809.10	1.017905507
ENSG00000004864.10	21.9369312
ENSG00000004866.15	1.275468544
ENSG00000004897.8	16.82386502
ENSG00000004961.11	0.226160071
ENSG00000004975.8	12.02572408
ENSG00000005007.9	10.18832175
ENSG00000005020.9	67.11906094
ENSG00000005022.5	91.49774229
ENSG00000005075.12	9.27157853
ENSG00000005100.9	4.654035657
ENSG00000005156.8	10.61478809
ENSG00000005175.6	7.41015426
ENSG00000005187.8	0.346035543
ENSG00000005189.16	0.993406363
ENSG00000005194.11	3.35785435
ENSG00000005206.13	4.825983532
ENSG00000005238.16	12.68222709
ENSG00000005243.6	0.014830881
