gene_id	Mon96h_R2
ENSG00000000419.9	17.38222981
ENSG00000000457.10	2.016693883
ENSG00000000460.13	0.842375998
ENSG00000000938.9	57.6441548
ENSG00000001036.10	12.54149069
ENSG00000001084.7	5.806347673
ENSG00000001167.11	3.226367104
ENSG00000001460.14	0.332415465
ENSG00000001461.13	1.852234312
ENSG00000001497.13	6.562653951
ENSG00000001617.8	0.368055769
ENSG00000001629.6	5.200569918
ENSG00000001630.12	2.061653081
ENSG00000001631.11	14.43728541
ENSG00000002016.13	8.866294772
ENSG00000002330.10	6.203007415
ENSG00000002549.9	2.740613397
ENSG00000002726.16	5.222592655
ENSG00000002822.12	16.5947106
ENSG00000002834.14	73.70819706
ENSG00000002919.11	4.680011428
ENSG00000002933.4	0.129458683
ENSG00000003056.4	39.72221754
ENSG00000003096.10	0.191594663
ENSG00000003147.14	1.82710522
ENSG00000003249.10	0.051569966
ENSG00000003393.11	5.767244993
ENSG00000003400.11	1.148291514
ENSG00000003402.16	16.68951018
ENSG00000003436.11	0.594242428
ENSG00000003509.12	6.017613223
ENSG00000003756.13	33.97947408
ENSG00000003987.10	0.032797085
ENSG00000003989.13	0.697539496
ENSG00000004059.7	18.83591608
ENSG00000004142.8	13.21915238
ENSG00000004399.9	57.87961746
ENSG00000004455.13	37.97101932
ENSG00000004468.9	2.584987527
ENSG00000004478.6	7.407656137
ENSG00000004487.12	7.505739573
ENSG00000004534.11	16.59871555
ENSG00000004660.11	1.062001815
ENSG00000004700.12	2.488271895
ENSG00000004766.12	1.379773855
ENSG00000004777.15	4.548595109
ENSG00000004779.6	18.45694621
ENSG00000004799.7	0.051060604
ENSG00000004809.10	3.001723933
ENSG00000004864.10	3.594894327
ENSG00000004866.15	2.77632891
ENSG00000004897.8	10.18168218
ENSG00000004961.11	2.355841986
ENSG00000004975.8	5.709642952
ENSG00000005007.9	8.167856513
ENSG00000005020.9	18.74553556
ENSG00000005022.5	50.5108166
ENSG00000005075.12	9.400816739
ENSG00000005100.9	1.560119775
ENSG00000005156.8	4.02193673
ENSG00000005175.6	3.518831735
ENSG00000005187.8	1.206592849
ENSG00000005189.16	1.363211509
ENSG00000005194.11	4.794965176
ENSG00000005206.13	9.673815103
ENSG00000005238.16	8.16264858
ENSG00000005243.6	0.011615204
ENSG00000005302.14	10.90716869
ENSG00000005339.9	14.38901086
ENSG00000005379.12	1.153534108
ENSG00000005381.7	834.7589367
ENSG00000005436.10	1.588528601
ENSG00000005448.13	0.732963922
ENSG00000005483.16	26.66818147
ENSG00000005486.13	28.14209709
ENSG00000005700.11	10.56636998
ENSG00000005801.13	10.62927798
ENSG00000005810.14	20.19179029
ENSG00000005812.7	5.151294074
ENSG00000005844.14	12.45356903
ENSG00000005882.8	0.515714581
ENSG00000005884.14	0.835304469
ENSG00000005889.12	4.015608738
ENSG00000005893.12	13.99335757
ENSG00000005961.14	1.675565538
ENSG00000006007.8	14.99279169
